review_id,product_id,entity_id,begin_offset,sentiment_score,sentiment_magnitude,content,type
1,1,1,43,-0.800000011920929,0.800000011920929,pot,COMMON
2,1,1,34,0.8999999761581421,0.8999999761581421,coffee maker,COMMON
2,1,2,3,0.0,0.0,husband,COMMON
2,1,3,62,0.0,0.0,work,COMMON
2,1,4,129,0.10000000149011612,0.10000000149011612,pot feature,COMMON
2,1,5,149,0.0,0.0,weekdays,COMMON
2,1,6,171,0.20000000298023224,0.20000000298023224,pot feature,COMMON
2,1,7,191,0.0,0.0,weekends,COMMON
2,1,8,255,0.699999988079071,0.699999988079071,coffee,COMMON
2,1,9,305,0.699999988079071,0.699999988079071,kureg pod,COMMON
4,1,1,56,0.10000000149011612,0.10000000149011612,time,COMMON
4,1,2,0,-0.8999999761581421,0.8999999761581421,Horrible,PROPER
4,1,3,22,0.0,0.0,coffee maker,COMMON
4,1,4,44,0.0,0.0,move,COMMON
4,1,5,106,0.0,0.0,reservoir,COMMON
4,1,6,125,-0.30000001192092896,0.30000001192092896,everywhere,COMMON
4,1,7,81,-0.30000001192092896,0.30000001192092896,water,COMMON
4,1,8,192,-0.8999999761581421,0.8999999761581421,waste,COMMON
4,1,9,201,-0.800000011920929,0.800000011920929,money,COMMON
5,1,1,104,0.8999999761581421,0.8999999761581421,finish,COMMON
5,1,2,140,0.8999999761581421,0.8999999761581421,quality,COMMON
5,1,3,154,0.8999999761581421,0.8999999761581421,product,COMMON
5,1,4,170,0.0,0.0,price,COMMON
6,1,1,4,-0.8999999761581421,0.8999999761581421,negative,COMMON
6,1,2,216,-0.4000000059604645,0.4000000059604645,sound,COMMON
6,1,3,95,-0.8999999761581421,0.8999999761581421,cup,COMMON
6,1,4,71,0.0,0.0,pot,COMMON
6,1,5,365,0.20000000298023224,0.20000000298023224,warmer,COMMON
6,1,6,154,-0.20000000298023224,0.20000000298023224,coffee,COMMON
6,1,7,242,-0.4000000059604645,0.4000000059604645,light,COMMON
6,1,8,343,-0.20000000298023224,0.20000000298023224,notification,COMMON
6,1,9,397,0.8999999761581421,0.8999999761581421,positive,COMMON
6,1,10,434,0.699999988079071,0.699999988079071,cup option,COMMON
7,1,1,27,-0.8999999761581421,0.8999999761581421,carafe,COMMON
7,1,2,0,-0.8999999761581421,0.8999999761581421,Item,COMMON
7,1,3,60,-0.800000011920929,0.800000011920929,replacement,COMMON
7,1,4,148,-0.8999999761581421,0.8999999761581421,carafe,COMMON
7,1,5,102,-0.4000000059604645,0.4000000059604645,Update,COMMON
7,1,6,198,-0.699999988079071,0.699999988079071,brewing side,COMMON
