review_id,product_id,begin_offset,content,sentiment_score,sentiment_magnitude
1,1,0,I’ve had this for a year now after my last pot wore out.,-0.30000001192092896,0.30000001192092896
1,1,57,Love it!,0.8999999761581421,0.8999999761581421
2,1,0,My husband and I really like this coffee maker.,0.800000011920929,0.800000011920929
2,1,49,We leave for work about three hours apart so it’s really nice having the single pot feature for the weekdays and the full pot feature for the weekends.,0.8999999761581421,0.8999999761581421
2,1,202,Very easy to clean.,0.8999999761581421,0.8999999761581421
2,1,222,I like that you can use your own coffee instead of having a buy a non-eco-friendly kureg pod.,0.800000011920929,0.800000011920929
3,1,0,Great,0.8999999761581421,0.8999999761581421
4,1,0,Horrible.,-0.8999999761581421,0.8999999761581421
4,1,10,Bought this coffee maker during a move.,0.0,0.0
4,1,50,"First time that I used it, the water didn’t hold in the reservoir and went everywhere.",-0.10000000149011612,0.10000000149011612
4,1,137,"Since I was moving, I missed the return period.",-0.30000001192092896,0.30000001192092896
4,1,185,What a waste of money.,-0.8999999761581421,0.8999999761581421
5,1,0,Seems to be holding up so far.,0.20000000298023224,0.20000000298023224
5,1,31,"Bigger and bulkier than I expected, but it doesn’t bother me.",-0.30000001192092896,0.30000001192092896
5,1,93,I love the finish and it definitely seems high quality.,0.8999999761581421,0.8999999761581421
5,1,149,Good product for the price!,0.8999999761581421,0.8999999761581421
6,1,0,"The negative:  it’s very slow, especially if you’re waiting on a whole pot but even the single cup seems very slow.",-0.800000011920929,0.800000011920929
6,1,117,Considering how slow you’d think the coffee would be super hot but it’s not that hot.,-0.5,0.5
6,1,204,"There is no sound when it’s done, the light just clicks off.",-0.6000000238418579,0.6000000238418579
6,1,265,So you really aren’t notified you just have to stand there and wait.,-0.30000001192092896,0.30000001192092896
6,1,335,Also no notification when the warmer goes off.<br /><br />The positive:  I really enjoy the single cup option.,0.6000000238418579,0.6000000238418579
7,1,0,Item arrived with a broken carafe and I have not received a replacement after over a week.<br /><br />Update 10.08.18.,-0.800000011920929,0.800000011920929
7,1,119,"After arriving with a broken carafe that took two weeks to replace, the 12 cup brewing side has now died.",-0.699999988079071,0.699999988079071
7,1,226,Probably hasn't been used more than 30 times as I mostly brew single cups.,-0.30000001192092896,0.30000001192092896
7,1,302,I've been very disappointed with this product and apparently I am no longer eligible for the Hamilton Beach help line (since May 31).,-0.699999988079071,0.699999988079071
8,1,0,BEWARE!!<br />The machine is terrific.,0.800000011920929,0.800000011920929
8,1,39,"This is the second one I bought and I do not regret buying it.<br />However they really cheapened the product.<br />THERE IS NO TRAVELING MUG WITH IT, EVEN THOUGH THEY SHOW A PICTURE OF IT.",-0.4000000059604645,0.4000000059604645
8,1,229,"Also instead of a gold tone filter they GENEROUSLY give you 5 paper filters.<br /> Again, the machine is great,but the higher end Mr Coffee is a better value",0.30000001192092896,0.30000001192092896
9,1,0,I have had this coffee maker for almost a year now.,0.20000000298023224,0.20000000298023224
9,1,53,Both sides get used daily.,0.20000000298023224,0.20000000298023224
9,1,81,It's wonderful!!!,0.8999999761581421,0.8999999761581421
10,1,0,I LOVE this product.,0.800000011920929,0.800000011920929
11,1,0,Pretty good,0.8999999761581421,0.8999999761581421
12,1,0,works great,0.800000011920929,0.800000011920929
13,1,0,Awesome!!,0.8999999761581421,0.8999999761581421
14,1,0,My mother loves it,0.8999999761581421,0.8999999761581421
15,1,0,Works very well.,0.4000000059604645,0.4000000059604645
15,1,17,Hope it lasts a long time!,0.20000000298023224,0.20000000298023224
16,1,0,good machine for replacing Keurig non-biodegradable k cups in the landfill  coffee make -  we have a decaf drinker and a can you make it stronger regular drinker so I thought this one cup on the side brew was a good idea -  two things -  the one cup brew doe not use filters and the coffee is full of grounds -  I have tried coarse grind and medium grind -  just cant get it right -  and secondly - the coffee does not get as hot as a keurig -  I  usually have to put it in the microwave to heat it up -  I am keeping this - but wish it was easier,-0.6000000238418579,0.6000000238418579
17,1,0,This is a really good coffeemaker.,0.800000011920929,0.800000011920929
17,1,35,The secondary single-serve is a great feature and works flawlessly.,0.8999999761581421,0.8999999761581421
17,1,103,I especially like the Senseo coffee pods.,0.6000000238418579,0.6000000238418579
17,1,145,We bought this to replace our Keurig because we were tired of spending a small fortune on k-cups every month and contributing so much plastic to the landfill.,-0.6000000238418579,0.6000000238418579
17,1,304,"This gives us the best of both and if I drink more than a pot of coffee, I don't have to make another pot.",0.8999999761581421,0.8999999761581421
18,1,0,This coffee maker is the best!,0.8999999761581421,0.8999999761581421
18,1,31,We've had it for a few months and have experienced no problems.,0.800000011920929,0.800000011920929
18,1,95,We're a family of serious coffee-drinkers and everyone raves about this brewer.,0.30000001192092896,0.30000001192092896
18,1,175,"We like that we can brew a single cup, jumbo-sized mug, or travel mug and customize it to our specific strength and use any ground coffee for our desired flavor.",0.800000011920929,0.800000011920929
18,1,337,We do brew full pots and we love the programmable start so that we can have a pot ready for us when we get home from church.,0.800000011920929,0.800000011920929
18,1,462,"We're up and out at different times during the week, though, so the single-cup brewing is great for us when a full pot would go to waste.",0.0,0.0
18,1,600,"This unit does NOT use K-cups, but it's much more economical because the single-brew mesh filter allows for any coffee you like, without the over-priced single brew cups.",-0.6000000238418579,0.6000000238418579
18,1,771,"Before buying this product, I also looked at the Ninja Coffee Bar, which was more than twice the price of the Hamilton Beach maker.",-0.10000000149011612,0.10000000149011612
18,1,903,I'm so happy with the Hamilton Beach 49980A and glad I didn't waste money on the Ninja.,0.699999988079071,0.699999988079071
19,1,0,Love it,0.8999999761581421,0.8999999761581421
20,1,0,Makes great coffee!,0.8999999761581421,0.8999999761581421
20,1,21,Really happy with it.,0.8999999761581421,0.8999999761581421
21,1,0,"I returned it without using, so this review is based on what I saw.",0.0,0.0
21,1,68,Best price for an option that can do both a full size and a single cup.,0.8999999761581421,0.8999999761581421
21,1,140,But the top black plastic part is SO CHEAP that pieces broke before it got to me.,0.30000001192092896,0.30000001192092896
21,1,222,"However, the pieces that broke would not have been a huge deal in use (you'd have to hold up the piece so you could pour water in).",-0.10000000149011612,0.10000000149011612
21,1,354,"SO - I think if you got a really good deal on it, I'd recommend it!",0.8999999761581421,0.8999999761581421
21,1,422,Just don't be irritated when you realize parts are cheap.,0.10000000149011612,0.10000000149011612
22,1,0,"I bought this to replace my Keirig, because I wanted to be less wasteful.",0.10000000149011612,0.10000000149011612
22,1,74,This coffee maker was a joke.,-0.8999999761581421,0.8999999761581421
22,1,104,"I almost wonder if the reviews were bought, because it hardly worked from day 1.",-0.699999988079071,0.699999988079071
22,1,185,"I spent a lot of money on different coffees, and everytime it just didn't taste right.",-0.8999999761581421,0.8999999761581421
22,1,272,"Bought another Keirig and now I'm NOT sucking down awful, watery coffee. :)",0.800000011920929,0.800000011920929
23,1,0,Great brewer but my cup cracked after first use,0.800000011920929,0.800000011920929
24,1,0,We only use the single server since we got it & it is very convenient.,0.800000011920929,0.800000011920929
24,1,72,It is perfect for brewing one cup of coffee.,0.8999999761581421,0.8999999761581421
25,1,0,Since purchasing the Coffee maker it has performed perfectly and makes great coffee in both the single and 12 cup side.,0.8999999761581421,0.8999999761581421
25,1,121,"The water is easy to fill and pour without spilling, unlike my previous brand.",0.5,0.5
25,1,201,Tried using K cups instead of the pods just for grins.,-0.20000000298023224,0.20000000298023224
25,1,257,It is a tight fit with the K cup and I would say that even if you puncture the top that it wouldn't work right.,-0.800000011920929,0.800000011920929
25,1,370,I would not recommend it for K Cups.,-0.699999988079071,0.699999988079071
25,1,408,Either use the Pods or a single scoop of coffee in the built in fine filter.,0.10000000149011612,0.10000000149011612
26,1,0,"Bought this for my mother, she loves it!!!",0.8999999761581421,0.8999999761581421
26,1,43,It is easy to use and brews fast!,0.8999999761581421,0.8999999761581421
27,1,0,Best coffee maker ever!,0.8999999761581421,0.8999999761581421
27,1,25,The single brew feature is such a plus.,0.0,0.0
27,1,66,Bought one of these for a wedding gift for a friend and she loves hers too.,0.800000011920929,0.800000011920929
28,1,0,After researching coffee makers I chose the Hamilton Beach since it offered both single serve brewer for times I wanted only one cup of coffee.,-0.20000000298023224,0.20000000298023224
28,1,144,"When the box arrived, it was missing parts which is annoying since I have to box it back up and return to a UPS store for shipping.",-0.4000000059604645,0.4000000059604645
28,1,276,I am now back looking for another coffee maker.,0.0,0.0
28,1,324,The coffee maker might have been fine if it had been shipped properly.,-0.4000000059604645,0.4000000059604645
29,1,0,Have not yet been able to use it yet but it came today in box inside a bigger box with only paper inbetween bottom base for single cup is chipped.,-0.699999988079071,0.699999988079071
29,1,147,Otherwise it seems alright.,0.0,0.0
30,1,0,I love this coffee pot but I am really disappointed.,-0.5,0.5
30,1,54,The heating tray on this pot is rusting.,-0.800000011920929,0.800000011920929
30,1,96,I bought this Nov 2015 and already it is rusting.,-0.8999999761581421,0.8999999761581421
30,1,147,I am not happy about this  I just noticed I can not even return for a new one.,-0.8999999761581421,0.8999999761581421
31,1,0,This is a great coffee maker and it give you the choice to make a single cup of coffee or to make a pot of coffee.,0.8999999761581421,0.8999999761581421
31,1,115,"Really good product, my wife really loves it.",0.8999999761581421,0.8999999761581421
32,1,0,Bought this for my daughter and she love it.,0.8999999761581421,0.8999999761581421
32,1,46,Am thinking of buying one for myself.,0.0,0.0
32,1,85,Good Coffee is always needed :),0.8999999761581421,0.8999999761581421
33,1,0,We have had a variety of coffee makers over the years and this one has been the best yet.,0.8999999761581421,0.8999999761581421
33,1,91,"Works great, easy to use and so far dependable.",0.8999999761581421,0.8999999761581421
33,1,140,It allows me to fix a single cup of decaf in the evening which is nice.,0.5,0.5
34,1,0,I loved this coffee maker soo much when u first got it....onmly to be disappointed last week when the single brew stopped working .,0.30000001192092896,0.30000001192092896
34,1,132,So i thought at least i still have the full brew side and alas!,-0.10000000149011612,0.10000000149011612
34,1,196,The carafe broke this morning after the coffee finished brewing...,-0.699999988079071,0.699999988079071
34,1,263,very disappointed 😓,-0.800000011920929,0.800000011920929
35,1,0,"While the concept is great for a full pot of coffee and a mug for &#34;on the go&#34;, the strength of the coffee was VERY weak.",-0.800000011920929,0.800000011920929
35,1,130,I believe coffee makers with the V neck for coffee filtration is significantly better than the dilution effect of [_].,0.4000000059604645,0.4000000059604645
35,1,250,Gave away.,-0.20000000298023224,0.20000000298023224
36,1,0,Does not work like it says.,-0.800000011920929,0.800000011920929
37,1,0,When it stated &#34;pod&#34; I assumed it was like a kureg pod.,-0.4000000059604645,0.4000000059604645
37,1,64,"So, because of its wording I not get to send it back and finding one that uses the &#34;pod&#34;",-0.6000000238418579,0.6000000238418579
38,1,0,Hard-core coffee drinker who loves this coffee machine,0.699999988079071,0.699999988079071
39,1,0,Is good,0.699999988079071,0.699999988079071
40,1,0,This is a very intuitive coffee maker.,0.8999999761581421,0.8999999761581421
40,1,40,Easy to program.,0.8999999761581421,0.8999999761581421
41,1,0,Really enjoy this unit,0.8999999761581421,0.8999999761581421
42,1,0,Went back to kereg,-0.10000000149011612,0.10000000149011612
43,1,0,exactly what I needed and wanted.,0.800000011920929,0.800000011920929
44,1,0,"Wonderful product,  Awesome seller! !!!",0.8999999761581421,0.8999999761581421
45,1,0,Love it,0.8999999761581421,0.8999999761581421
46,1,0,I received this coffee pot and an early Christmas present.,0.5,0.5
46,1,59,I generally host all of our family parties.,0.5,0.5
46,1,103,This coffee pot is perfect for those get togethers.,0.8999999761581421,0.8999999761581421
46,1,155,I can make a pot of coffee for those who want coffee and then I can make single cups of hot water for tea or hot chocolate.,0.5,0.5
46,1,279,I love the program option.,0.800000011920929,0.800000011920929
46,1,306,I get everything ready at night and its ready when I get up.,0.4000000059604645,0.4000000059604645
46,1,367,I've had the unit since the end of November.,0.0,0.0
46,1,412,The hot plate has slowly started to look bad.,-0.6000000238418579,0.6000000238418579
46,1,458,Below is a picture.,-0.10000000149011612,0.10000000149011612
46,1,478,I'm nervous to keep using it with the excessive wear.,0.4000000059604645,0.4000000059604645
46,1,532,I feel it's a fire hazard.,0.0,0.0
46,1,559,I contacted Hamilton Beach.,0.0,0.0
46,1,587,They informed me that &#34;<br />Thank you for contacting us.,0.8999999761581421,0.8999999761581421
46,1,649,We are pleased to tell you that your product is still covered under the limited warranty.,0.699999988079071,0.699999988079071
46,1,739,We will be happy to send you a replacement product.,0.4000000059604645,0.4000000059604645
46,1,792,"Under the terms of your limited warranty, you must first return the defective product to us and pay for the cost of sending the replacement product to you.",-0.8999999761581421,0.8999999761581421
46,1,948,"However, because you are a valued customer we can help you save some money.",0.4000000059604645,0.4000000059604645
46,1,1025,"Instead of returning the full product, please unplug your appliance, cut off the plug, and send a picture of the disabled unit to photo@hamiltonbeach.com.",-0.20000000298023224,0.20000000298023224
46,1,1181,Please be sure to include your consumer number (*******) in the subject line as well as your name and address in the body of the email.,0.0,0.0
46,1,1317,"When we receive the picture of the disabled unit AND your payment of $11.49 to cover the cost of sending you a replacement product, we will ship the replacement directly to you.",-0.20000000298023224,0.20000000298023224
46,1,1496,"To pay for the shipping and handling charge, you will need to call our Consumer Affairs Department at 800.851.8900 to put the shipping of $11.49 on a credit card.",0.0,0.0
46,1,1659,"When calling, please be sure to reference your consumer number (*******).<br />Once we receive your payment and picture of the disabled unit, you should expect your new appliance to arrive within 7-10 business days.",-0.20000000298023224,0.20000000298023224
46,1,1876,"We also ask that you keep your current appliance until your new one arrives.Thank you again for contacting Hamilton Beach Brands, Inc.",0.6000000238418579,0.6000000238418579
46,1,2012,Please let us know if there is anything else we can do to assist you.,0.0,0.0
46,1,2082,&#34;<br />Why should I have to pay to replace and item that shouldn't have looked like this at all.....good luck to all who purchase.,-0.699999988079071,0.699999988079071
47,1,0,Purchased for my sister for Christmas.,0.10000000149011612,0.10000000149011612
47,1,40,Missing travel mug.,-0.10000000149011612,0.10000000149011612
47,1,61,Not happy!,-0.800000011920929,0.800000011920929
48,1,0,I am very pleased with this coffee maker.,0.8999999761581421,0.8999999761581421
48,1,42,I was previously used a very high priced Krupp coffee/expresó maker.,-0.5,0.5
48,1,111,I loved the machine but my oldest broke the coffee pot side of the system.,0.20000000298023224,0.20000000298023224
48,1,186,He really needed a single serving maker.,0.20000000298023224,0.20000000298023224
48,1,227,"I loved my Lattes, but I needed to find something better for the family.",0.5,0.5
48,1,300,After a little Google research I felt pushed to get this Hamilton Beach model.,0.0,0.0
48,1,379,Great unit!,0.8999999761581421,0.8999999761581421
48,1,391,Makes single servings and pots.,0.5,0.5
48,1,423,"The coffee tastes great and best of all, pouring from the pot does not drip off the sides of the pot.",0.8999999761581421,0.8999999761581421
48,1,525,I thought there was not solution to pouring from a full pot without having it drip off the pot.,-0.30000001192092896,0.30000001192092896
48,1,621,Thank you Hamilton Beach engineers for designing a pot that doesn't need to be poured over the sink to avoid a mess.,0.800000011920929,0.800000011920929
49,1,0,"Purchased for my husband to try and wean him off the KUERIG, which I learned to despise because I think it is wasteful and expensive.",-0.6000000238418579,0.6000000238418579
49,1,134,I saw that ithis  made a single serving into his travel cup so this feature got my attention.,0.6000000238418579,0.6000000238418579
49,1,228,We have had since October and I think he likes it.,0.6000000238418579,0.6000000238418579
49,1,279,The programmable feature is nice.,0.800000011920929,0.800000011920929
49,1,313,"I think we still waste coffee, but I think we still spend less on coffee than with the Keurig machines, which we have had many over the years.",-0.6000000238418579,0.6000000238418579
50,1,0,Works great in both single-cup mode or in whole-pot mode.,0.8999999761581421,0.8999999761581421
50,1,59,It does take some trick to figure out how much to grind the beans and how much to put in to the single-cup side.,0.10000000149011612,0.10000000149011612
50,1,173,In the beginning I had some spill-overs of coffee grounds into the cup.,0.4000000059604645,0.4000000059604645
50,1,246,Now I measure out 2 tablespoons and it's perfect every time!,0.8999999761581421,0.8999999761581421
50,1,308,I usually brew directly into a standard coffee mug (the platform raises up so it doesn't splash) and love getting every cup of coffee super-fresh.,0.8999999761581421,0.8999999761581421
51,1,0,This machine is designed to use coffee (or tea) &#34;pods&#34; to make single servings.,0.0,0.0
51,1,89,Each pod is good for a weak 6 oz cup of coffee.,0.10000000149011612,0.10000000149011612
51,1,138,"If you prefer stronger coffee (like Starbucks, or Peets) you will need to use at least two pods for each 6 oz cup.<br />Pods are available through several vendors, but selections are relatively limited, and (considering that fact that one may need to use two pods for each 6 oz cup) they are somewhat expensive.<br /><br />A nice feature is that you can also make single servings using &#34;loose&#34; medium-ground coffee.",0.20000000298023224,0.20000000298023224
51,1,563,"This will get coffee to the desired strength, but there tends to be a good deal of sediment in each cup.<br /><br />The full size pot does a nice job.",0.800000011920929,0.800000011920929
51,1,715,It has a &#34;bold&#34; setting that slows down the brewing cycle but yields nice strong coffee.,0.30000001192092896,0.30000001192092896
52,1,0,Really love this coffee maker.,0.8999999761581421,0.8999999761581421
52,1,31,My husband likes to make the coffee for morning after dinner for the timer operation.,0.6000000238418579,0.6000000238418579
52,1,117,Sometimes I want a cup of coffee after he has already set the coffee maker up for morning.,0.4000000059604645,0.4000000059604645
