review_id,product_id,review_content,rating,date,helpful_vote,verified_purchase,top_reviewer,title,bought_model,is_anomaly
1,1,I’ve had this for a year now after my last pot wore out. Love it!,5,2018-10-26,,True,,Love it!,,
2,1,My husband and I really like this coffee maker.  We leave for work about three hours apart so it’s really nice having the single pot feature for the weekdays and the full pot feature for the weekends.  Very easy to clean. I like that you can use your own coffee instead of having a buy a non-eco-friendly kureg pod.,5,2018-10-23,,True,,My husband and I really like this coffee maker,,
3,1,Great,5,2018-10-22,,True,,Great,,
4,1,"Horrible. Bought this coffee maker during a move. First time that I used it, the water didn’t hold in the reservoir and went everywhere. Since I was moving, I missed the return period. What a waste of money.",1,2018-10-20,,True,,Horrible.,,
5,1,"Seems to be holding up so far. Bigger and bulkier than I expected, but it doesn’t bother me. I love the finish and it definitely seems high quality. Good product for the price!",5,2018-10-17,,True,,Good for the price!,,
6,1,"The negative:  it’s very slow, especially if you’re waiting on a whole pot but even the single cup seems very slow.  Considering how slow you’d think the coffee would be super hot but it’s not that hot.  There is no sound when it’s done, the light just clicks off. So you really aren’t notified you just have to stand there and wait.  Also no notification when the warmer goes off.<br /><br />The positive:  I really enjoy the single cup option.",3,2018-09-11,,True,,Needs improvement but works,,
7,1,"Item arrived with a broken carafe and I have not received a replacement after over a week.<br /><br />Update 10.08.18. After arriving with a broken carafe that took two weeks to replace, the 12 cup brewing side has now died.  Probably hasn't been used more than 30 times as I mostly brew single cups.  I've been very disappointed with this product and apparently I am no longer eligible for the Hamilton Beach help line (since May 31).",1,2018-03-09,,True,,UPDATE: not working after 6 mos,,
8,1,"BEWARE!!<br />The machine is terrific. This is the second one I bought and I do not regret buying it.<br />However they really cheapened the product.<br />THERE IS NO TRAVELING MUG WITH IT, EVEN THOUGH THEY SHOW A PICTURE OF IT. Also instead of a gold tone filter they GENEROUSLY give you 5 paper filters.<br /> Again, the machine is great,but the higher end Mr Coffee is a better value",3,2016-08-05,,True,,BEWARE!!!,,
9,1,I have had this coffee maker for almost a year now.  Both sides get used daily.  It's wonderful!!!,5,2016-01-04,,True,,It's wonderful!!,,
10,1,I LOVE this product.,5,2016-12-17,,True,,Five Stars,,
11,1,Pretty good,4,2017-05-27,,True,,Four Stars,,
12,1,works great,5,2016-11-25,,True,,coffee,,
13,1,Awesome!!,5,2014-12-05,,True,,Five Stars,,
14,1,My mother loves it,5,2016-04-28,,True,,Five Stars,,
15,1,Works very well. Hope it lasts a long time!,5,2014-12-25,,True,,Good Buy,,
16,1,good machine for replacing Keurig non-biodegradable k cups in the landfill  coffee make -  we have a decaf drinker and a can you make it stronger regular drinker so I thought this one cup on the side brew was a good idea -  two things -  the one cup brew doe not use filters and the coffee is full of grounds -  I have tried coarse grind and medium grind -  just cant get it right -  and secondly - the coffee does not get as hot as a keurig -  I  usually have to put it in the microwave to heat it up -  I am keeping this - but wish it was easier,1,2017-06-20,,True,,Good concept - but not as efficient as I had hoped,,
17,1,"This is a really good coffeemaker. The secondary single-serve is a great feature and works flawlessly. I especially like the Senseo coffee pods. We bought this to replace our Keurig because we were tired of spending a small fortune on k-cups every month and contributing so much plastic to the landfill. This gives us the best of both and if I drink more than a pot of coffee, I don't have to make another pot.",5,2015-04-13,,True,,"Great coffeemaker, excellent value",,
18,1,"This coffee maker is the best! We've had it for a few months and have experienced no problems. We're a family of serious coffee-drinkers and everyone raves about this brewer. We like that we can brew a single cup, jumbo-sized mug, or travel mug and customize it to our specific strength and use any ground coffee for our desired flavor. We do brew full pots and we love the programmable start so that we can have a pot ready for us when we get home from church. We're up and out at different times during the week, though, so the single-cup brewing is great for us when a full pot would go to waste. This unit does NOT use K-cups, but it's much more economical because the single-brew mesh filter allows for any coffee you like, without the over-priced single brew cups. Before buying this product, I also looked at the Ninja Coffee Bar, which was more than twice the price of the Hamilton Beach maker. I'm so happy with the Hamilton Beach 49980A and glad I didn't waste money on the Ninja.",5,2017-01-25,,True,,Love this coffee maker!,,
19,1,Love it,5,2017-07-18,,True,,Five Stars,,
20,1,Makes great coffee!  Really happy with it.,5,2015-11-14,,True,,Five Stars,,
21,1,"I returned it without using, so this review is based on what I saw. Best price for an option that can do both a full size and a single cup. But the top black plastic part is SO CHEAP that pieces broke before it got to me. However, the pieces that broke would not have been a huge deal in use (you'd have to hold up the piece so you could pour water in). SO - I think if you got a really good deal on it, I'd recommend it! Just don't be irritated when you realize parts are cheap.",3,2017-04-05,,True,,OK but,,
22,1,"I bought this to replace my Keirig, because I wanted to be less wasteful. This coffee maker was a joke. I almost wonder if the reviews were bought, because it hardly worked from day 1. I spent a lot of money on different coffees, and everytime it just didn't taste right. Bought another Keirig and now I'm NOT sucking down awful, watery coffee. :)",1,2016-06-14,2.0,True,,"Awful, waste of money",,
23,1,Great brewer but my cup cracked after first use,5,2014-12-16,,True,,Five Stars,,
24,1,We only use the single server since we got it & it is very convenient.  It is perfect for brewing one cup of coffee.,5,2015-10-14,,True,,It is perfect for brewing one cup of coffee,,
25,1,"Since purchasing the Coffee maker it has performed perfectly and makes great coffee in both the single and 12 cup side.  The water is easy to fill and pour without spilling, unlike my previous brand.  Tried using K cups instead of the pods just for grins.  It is a tight fit with the K cup and I would say that even if you puncture the top that it wouldn't work right.  I would not recommend it for K Cups.  Either use the Pods or a single scoop of coffee in the built in fine filter.",5,2016-05-27,,True,,Excellent Coffee maker for single cup and 12 cups.,,
26,1,"Bought this for my mother, she loves it!!! It is easy to use and brews fast!",5,2016-03-13,,True,,Amazing coffee maker!,,
27,1,Best coffee maker ever!  The single brew feature is such a plus.  Bought one of these for a wedding gift for a friend and she loves hers too.,5,2015-01-22,,True,,Look no further!,,
28,1,"After researching coffee makers I chose the Hamilton Beach since it offered both single serve brewer for times I wanted only one cup of coffee. When the box arrived, it was missing parts which is annoying since I have to box it back up and return to a UPS store for shipping. I am now back looking for another coffee maker. The coffee maker might have been fine if it had been shipped properly.",2,2014-12-28,,True,,Coffee Maker Missing Parts,,
29,1,Have not yet been able to use it yet but it came today in box inside a bigger box with only paper inbetween bottom base for single cup is chipped. Otherwise it seems alright.,2,2017-11-22,2.0,True,,Base broke while shipping,,
30,1,I love this coffee pot but I am really disappointed.  The heating tray on this pot is rusting.  I bought this Nov 2015 and already it is rusting.  I am not happy about this  I just noticed I can not even return for a new one.,1,2016-05-28,,True,,I love this coffee pot but I am really disappointed,,
31,1,"This is a great coffee maker and it give you the choice to make a single cup of coffee or to make a pot of coffee. Really good product, my wife really loves it.",5,2016-07-26,,True,,Great coffee maker,,
32,1,Bought this for my daughter and she love it.  Am thinking of buying one for myself.  Good Coffee is always needed :),5,2014-05-20,,True,,Awesome Coffee Pot for the Money,,
33,1,"We have had a variety of coffee makers over the years and this one has been the best yet.  Works great, easy to use and so far dependable.  It allows me to fix a single cup of decaf in the evening which is nice.",5,2017-01-27,,True,,Works Great!,,
34,1,I loved this coffee maker soo much when u first got it....onmly to be disappointed last week when the single brew stopped working . So i thought at least i still have the full brew side and alas! The carafe broke this morning after the coffee finished brewing... very disappointed 😓,1,2017-01-17,,True,,Very disappointed!,,
35,1,"While the concept is great for a full pot of coffee and a mug for &#34;on the go&#34;, the strength of the coffee was VERY weak.  I believe coffee makers with the V neck for coffee filtration is significantly better than the dilution effect of [_].  Gave away.",2,2016-02-09,,True,,While the concept is great for a full pot of coffee and a mug ...,,
36,1,Does not work like it says.,1,2018-01-03,,True,,One Star,,
37,1,"When it stated &#34;pod&#34; I assumed it was like a kureg pod. So, because of its wording I not get to send it back and finding one that uses the &#34;pod&#34;",3,2017-01-08,,True,,"When it stated ""pod"" I assumed it was like a kureg pod",,
38,1,Hard-core coffee drinker who loves this coffee machine,5,2016-11-05,,True,,Five Stars,,
39,1,Is good,5,2017-01-11,,True,,Five Stars,,
40,1,This is a very intuitive coffee maker.  Easy to program.,5,2014-07-23,,True,,Best coffee maker.,,
41,1,Really enjoy this unit,4,2015-11-11,,True,,Four Stars,,
42,1,Went back to kereg,1,2018-03-11,,True,,One Star,,
43,1,exactly what I needed and wanted.,5,2014-12-09,,True,,Five Stars,,
44,1,"Wonderful product,  Awesome seller! !!!",5,2014-11-14,,True,,Five Stars,,
45,1,Love it,5,2016-08-15,,True,,Five Stars,,
46,1,"I received this coffee pot and an early Christmas present. I generally host all of our family parties. This coffee pot is perfect for those get togethers. I can make a pot of coffee for those who want coffee and then I can make single cups of hot water for tea or hot chocolate. I love the program option. I get everything ready at night and its ready when I get up. I've had the unit since the end of November. The hot plate has slowly started to look bad. Below is a picture. I'm nervous to keep using it with the excessive wear. I feel it's a fire hazard. I contacted Hamilton Beach. They informed me that &#34;<br />Thank you for contacting us. We are pleased to tell you that your product is still covered under the limited warranty. We will be happy to send you a replacement product.  Under the terms of your limited warranty, you must first return the defective product to us and pay for the cost of sending the replacement product to you. However, because you are a valued customer we can help you save some money.  Instead of returning the full product, please unplug your appliance, cut off the plug, and send a picture of the disabled unit to photo@hamiltonbeach.com.  Please be sure to include your consumer number (*******) in the subject line as well as your name and address in the body of the email. When we receive the picture of the disabled unit AND your payment of $11.49 to cover the cost of sending you a replacement product, we will ship the replacement directly to you.  To pay for the shipping and handling charge, you will need to call our Consumer Affairs Department at 800.851.8900 to put the shipping of $11.49 on a credit card. When calling, please be sure to reference your consumer number (*******).<br />Once we receive your payment and picture of the disabled unit, you should expect your new appliance to arrive within 7-10 business days.  We also ask that you keep your current appliance until your new one arrives.Thank you again for contacting Hamilton Beach Brands, Inc.  Please let us know if there is anything else we can do to assist you. &#34;<br />Why should I have to pay to replace and item that shouldn't have looked like this at all.....good luck to all who purchase.",2,2016-07-21,97.0,,,Awesome for 6 months,,
47,1,Purchased for my sister for Christmas.  Missing travel mug.  Not happy!,3,2014-12-25,,True,,Not happy!,,
48,1,"I am very pleased with this coffee maker. I was previously used a very high priced Krupp coffee/expresó maker. I loved the machine but my oldest broke the coffee pot side of the system. He really needed a single serving maker. I loved my Lattes, but I needed to find something better for the family. After a little Google research I felt pushed to get this Hamilton Beach model. Great unit! Makes single servings and pots. The coffee tastes great and best of all, pouring from the pot does not drip off the sides of the pot. I thought there was not solution to pouring from a full pot without having it drip off the pot. Thank you Hamilton Beach engineers for designing a pot that doesn't need to be poured over the sink to avoid a mess.",5,2017-06-25,,True,,I am very pleased with this coffee maker,,
49,1,"Purchased for my husband to try and wean him off the KUERIG, which I learned to despise because I think it is wasteful and expensive. I saw that ithis  made a single serving into his travel cup so this feature got my attention. We have had since October and I think he likes it. The programmable feature is nice. I think we still waste coffee, but I think we still spend less on coffee than with the Keurig machines, which we have had many over the years.",4,2016-12-18,,True,,"Purchased for my husband to try and wean him off the KUERIG,",,
50,1,Works great in both single-cup mode or in whole-pot mode.  It does take some trick to figure out how much to grind the beans and how much to put in to the single-cup side.  In the beginning I had some spill-overs of coffee grounds into the cup.  Now I measure out 2 tablespoons and it's perfect every time!  I usually brew directly into a standard coffee mug (the platform raises up so it doesn't splash) and love getting every cup of coffee super-fresh.,5,2017-01-06,,True,,Great by the cup or by the pot!,,
51,1,"This machine is designed to use coffee (or tea) &#34;pods&#34; to make single servings.  Each pod is good for a weak 6 oz cup of coffee.  If you prefer stronger coffee (like Starbucks, or Peets) you will need to use at least two pods for each 6 oz cup.<br />Pods are available through several vendors, but selections are relatively limited, and (considering that fact that one may need to use two pods for each 6 oz cup) they are somewhat expensive.<br /><br />A nice feature is that you can also make single servings using &#34;loose&#34; medium-ground coffee.  This will get coffee to the desired strength, but there tends to be a good deal of sediment in each cup.<br /><br />The full size pot does a nice job.  It has a &#34;bold&#34; setting that slows down the brewing cycle but yields nice strong coffee.",3,2014-01-11,4.0,True,,Pods are useless,,
52,1,"Really love this coffee maker. My husband likes to make the coffee for morning after dinner for the timer operation. Sometimes I want a cup of coffee after he has already set the coffee maker up for morning. I can easily do this with the single cup side.<br />My only complaint is that the pot doesn't have an adjustment to 3 hours for shut off. It automatically shuts off at 2 hours. However, that being said, if you just hit start, it heats the coffee in the pot up to very hot in about 10 minutes after shutting off.",4,2016-03-05,2.0,True,,Really Love this coffee maker.,,
